site_id,name,latitude,longitude,operator,n_refill_points,max_power_kw,connector_types,type_of_site
2025000358,Decathlon Carcaixent,39.12949,-0.443396,EDP CLIENTES SAU,3,22.0,iec62196T1|iec62196T2,
2025000346,Petroprix Mataró,41.550648,2.433555,EDP CLIENTES SAU,1,50.0,iec62196T2COMBO,other
2025000347,AhorraMas Chirivel,40.478275,-3.662682,EDP CLIENTES SAU,1,22.0,iec62196T2,
2025000348,Decathlon Usera,40.366158,-3.711676,EDP CLIENTES SAU,5,150.0,iec62196T2|iec62196T2COMBO,
2025000349,Decathlon Aguilas,37.41756,-1.560353,EDP CLIENTES SAU,1,22.0,iec62196T2,
2025000350,Hotel Vila Gale,37.18267,-7.349584,EDP CLIENTES SAU,6,22.0,iec62196T2,other
2025000351,Carrefour L`Hostal Nou I la Codosa,41.638073,2.373145,EDP CLIENTES SAU,3,22.0,iec62196T2,openSpace
2025000352,Decathlon San Sebastián,43.280277,-2.013636,EDP CLIENTES SAU,3,150.0,iec62196T2|iec62196T2COMBO,
2025000353,Decathlon Mérida,38.92164,-6.373924,EDP CLIENTES SAU,3,22.0,iec62196T2,
2025000354,Decathlon Tamaraceite,28.094917,-15.472922,EDP CLIENTES SAU,4,22.0,iec62196T2,
2025000343,CARREFOUR RIVAS,40.340855,-3.5363479,CENTROS COMERCIALES CARREFOUR SA,1,150.0,iec62196T2COMBO,openSpace
2025000334,CARREFOUR AUGUSTA,41.65923,-0.9188606,CENTROS COMERCIALES CARREFOUR SA,1,50.0,chademo|iec62196T2COMBO,openSpace
2025000336,Parque de la Música. Sevilla,37.36959,-5.951069,"Wenea Services Spain, S.L.",2,100.0,iec62196T2COMBO,onstreet
2025000337,Melia Barcelona Sky,41.406303,2.200654,"Wenea Services Spain, S.L.",3,5.0,iec62196T2,onstreet
2025000338,Apartamentos Simon Verde,37.33706,-6.038257,"Wenea Services Spain, S.L.",2,7.4,iec62196T2,onstreet
2025000339,Melia Barcelona Sarrià,41.391068,2.141799,"Wenea Services Spain, S.L.",6,7.4,iec62196T2,onstreet
2025000340,Mejillón-Alburres. Sevilla,37.426014,-5.983239,"Wenea Services Spain, S.L.",2,22.0,iec62196T2,onstreet
2025000320,E-Z-Calatayud-001,41.374615,-1.577303,IBERDROLA CLIENTES S.A.U,2,7.3,iec62196T2,onstreet
2025000322,V-ALFAFAR-005,39.415886,-0.381488,IBERDROLA CLIENTES S.A.U,6,22.0,iec62196T2,onstreet
2025000328,M-Madrid-152,40.465347,-3.786321,IBERDROLA CLIENTES S.A.U,4,100.0,chademo|iec62196T2|iec62196T2COMBO,onstreet
