Carretera,Tipo_de_via,length_m,nearest_station_m,has_gap
TO-23,Multicarril,7527.979244750741,74.82226852190453,False
AP-7S,Autopista peaje,22078.044641377946,1902.1550646717544,False
AP-7S,Autopista peaje,24146.013099683783,3027.7874808548186,False
AP-7S,Autopista peaje,28323.852696770326,4269.02398987149,False
AP-7S,Autopista peaje,11492.490960125377,4014.9361942124256,False
AP-7S,Autopista peaje,4021.8231054166026,2308.6155806754828,False
N-4,Carretera convencional,4868.842576163149,1800.403538770027,False
N-4,Carretera convencional,2138.7478922529162,216.96566682086234,False
N-4,Carretera convencional,8686.597009278476,10427.906817091136,False
N-4,Carretera convencional,12810.96293858887,4184.225556139132,False
N-4,Carretera convencional,5806.012828083931,12071.65529431653,False
N-4,Multicarril,2853.8674492162572,1590.1352138206603,False
N-4,Multicarril,1799.5783636988456,6792.575770182877,False
N-4,Carretera convencional,62781.28842106909,1144.2229822357976,False
N-4,Multicarril,1324.6301689165057,5115.501852452402,False
A-7S,Autopista libre\Autovía,71159.6285923375,6130.069400125705,False
A-7S,Autopista libre\Autovía,37540.93396802612,5433.542404257071,False
A-7S,Autopista libre\Autovía,3504.4892431766852,4364.550163734804,False
A-7S,Autopista libre\Autovía,11926.49455002844,1636.6757896784486,False
A-7S,Autopista libre\Autovía,64779.042805519406,981.8640489829953,False
A-7S,Autopista libre\Autovía,13676.573227656314,5950.95226435882,False
A-7S,Autopista libre\Autovía,4588.981198384145,2810.73934866039,False
A-7S,Autopista libre\Autovía,5.550584956539417,4826.519316708552,False
A-7S,Autopista libre\Autovía,23148.003424863535,9138.735001299865,False
A-7S,Autopista libre\Autovía,3506.1386720977116,5851.967365115127,False
A-7S,Autopista libre\Autovía,10160.600382124947,3187.20435540892,False
A-7S,Autopista libre\Autovía,76017.80624579535,1373.0178862387083,False
A-7S,Autopista libre\Autovía,1474.8140645632907,798.1172556573512,False
A-7S,Autopista libre\Autovía,4.225675881050441,1461.808421923442,False
A-7S,Autopista libre\Autovía,21470.321769720296,3707.4110674981953,False
A-7S,Autopista libre\Autovía,31492.564209624143,2110.7001701704435,False
A-7S,Autopista peaje,5322.812053093038,1660.228671374279,False
A-7S,Autopista libre\Autovía,450.8306109820343,1894.508600000263,False
A-7S,Autopista libre\Autovía,22389.95627299786,1033.932853954363,False
A-7S,Autopista peaje,2587.3264704452195,578.3401176954189,False
A-7S,Multicarril,20452.48522382688,546.1815771749557,False
A-7S,Autopista libre\Autovía,22153.61227818833,3710.481890915045,False
A-7S,Autopista libre\Autovía,3.9131377548956343,685.240544560512,False
A-7S,Autopista libre\Autovía,2190.847767877322,571.1665869694966,False
A-7S,Multicarril,138.6743689648876,195.45922155208527,False
A-7S,Multicarril,5754.332552002219,254.59328570389857,False
GR-30,Autopista libre\Autovía,27450.485193738317,1913.969861586318,False
GR-30,Autopista libre\Autovía,2.1279717747807028,1558.051916579092,False
N-3,Carretera convencional,12006.317364212407,5605.977485716044,False
N-3,Carretera convencional,99933.3789423161,3653.2595673480196,False
N-3,Carretera convencional,11170.558135370315,5379.144874266674,False
N-3,Carretera convencional,12485.71531623683,4955.402434250607,False
A-1,Autopista libre\Autovía,631.7364587405593,611.9248107317774,False
A-1,Autopista libre\Autovía,9272.366058106687,217.23171970214372,False
A-1,Autopista libre\Autovía,29361.0721882003,1785.723660194612,False
A-1,Autopista libre\Autovía,48331.431429349796,11564.361364434382,False
A-1,Autopista libre\Autovía,57659.53682174598,11378.064068832738,False
A-1,Autopista libre\Autovía,86246.44917512918,3154.857515438658,False
A-1,Autopista libre\Autovía,1836.1940341791817,1449.6071321864,False
A-1,Autopista libre\Autovía,2547.3108813174085,522.0360866401427,False
A-1,Autopista libre\Autovía,5082.610610977347,1223.3567285648585,False
A-1,Autopista libre\Autovía,4870.8427867156815,1944.1476035274582,False
A-1,Autopista libre\Autovía,2912.5928932196484,3908.2100238186445,False
A-1,Autopista libre\Autovía,7123.8483548561935,6551.150792448707,False
A-1,Autopista libre\Autovía,233.94615530260103,4983.061491514976,False
A-1,Autopista libre\Autovía,15775.662069810896,1390.2983732263444,False
A-1,Autopista libre\Autovía,39325.99634169797,11866.38571017738,False
A-1,Autopista libre\Autovía,28.63315652137346,5573.195102716233,False
A-1,Autopista libre\Autovía,5147.274117238495,3036.6994918494806,False
A-1,Autopista libre\Autovía,8709.119151975585,3209.2202481334866,False
A-1,Autopista libre\Autovía,40237.692649977,916.1050258663208,False
A-1,Autopista libre\Autovía,9625.87976105067,1400.2714436079766,False
A-11,Autopista libre\Autovía,40399.019561702145,12963.387054473467,False
A-11,Autopista libre\Autovía,9180.514488021525,1539.5614504348837,False
A-11,Autopista libre\Autovía,12648.575445047873,9065.00283577852,False
A-11,Autopista libre\Autovía,14084.986331054479,1774.9715991835706,False
A-11,Autopista libre\Autovía,14427.514305231422,5686.402280031521,False
A-11,Autopista libre\Autovía,225.37606616717147,1371.208381009452,False
A-11,Autopista libre\Autovía,61401.9486375985,5726.274456643394,False
A-11,Autopista libre\Autovía,7083.338296975674,1804.8264306315566,False
A-12,Autopista libre\Autovía,73728.05649327049,21986.44498022217,False
A-12,Autopista libre\Autovía,716.7020899821049,1277.0297590269176,False
A-12,Autopista libre\Autovía,38569.27841252631,9075.376430655031,False
A-13,Autopista libre\Autovía,4169.221303463914,261.27641089715235,False
A-14,Autopista libre\Autovía,16562.851752577764,2392.7067416761056,False
A-15,Autopista libre\Autovía,43444.93167454196,16978.947334425895,False
A-15,Autopista libre\Autovía,20068.184680957438,20440.52003421126,False
A-15,Autopista libre\Autovía,12728.717467516259,1165.7132667101653,False
A-15,Autopista libre\Autovía,5.155684360244256,11750.511981139323,False
A-15,Autopista libre\Autovía,2526.0923832400954,12928.655654878306,False
A-15,Autopista libre\Autovía,6464.045965301408,10206.446940426298,False
A-15,Autopista libre\Autovía,7.605740827289344,7298.426200963762,False
A-15,Autopista libre\Autovía,27866.466447514613,329.5270002717093,False
A-15,Autopista libre\Autovía,16423.33023284289,5045.835570549172,False
A-15,Autopista libre\Autovía,10923.816647873551,1905.286023613639,False
A-1A,Multicarril,6823.882190311151,2910.6013193910003,False
A-2,Autopista libre\Autovía,3420.3704725981333,819.4419350136743,False
A-2,Autopista libre\Autovía,52350.97899971149,2762.481176127102,False
A-2,Autopista libre\Autovía,72537.6531307881,9699.60850524344,False
A-2,Autopista libre\Autovía,15928.237389350761,7399.036110728052,False
A-2,Autopista libre\Autovía,76882.2802597545,5408.281932989382,False
A-2,Autopista libre\Autovía,74927.46493405709,2994.3918450944307,False
A-2,Autopista libre\Autovía,2849.7998434450938,2229.1665403776724,False
A-2,Autopista libre\Autovía,2054.6293185782292,613.8385829764605,False
A-2,Autopista libre\Autovía,4474.346098781922,1242.0883042445782,False
A-2,Autopista libre\Autovía,3594.373117810405,2469.922812827354,False
