Carretera,Tipo_de_via,length_m,nearest_station_m,has_gap,segment_id,road_n_stations,road_total_refill_points,road_mean_power_kw,road_max_power_kw,road_n_operators,road_has_chademo,road_has_ccs,road_total_length_m,road_n_segments,road_n_gaps,road_gap_ratio,road_mean_nearest_m,road_max_nearest_m,road_centroid_lat,road_centroid_lon,road_min_lat,road_max_lat,road_min_lon,road_max_lon,road_span_lat,road_span_lon,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,comunidad_autonoma,provincia,municipio,grid_capacity_3nearest_mw,grid_maxvoltage_3nearest_kv,ev_fleet_2027,ev_reg_2026,ev_reg_2027,ev_growth_rate,road_type_rank,road_stations_per_100km,road_refill_per_100km,is_underserved,is_desert,stations_deficit_afir,priority_score,priority_score_norm
N-620,Carretera convencional,2655.7891669691408,4459.340173587589,0,1245,6,30,141.66666666666666,360.0,4,1,1,191047.95950059663,6.0,0.0,0.0,9396.577808115182,20715.03316167826,40.88084816666667,-6.082079,40.592,41.30149,-6.790778,-5.224889,0.7094900000000024,1.5658890000000003,1.5178776059836303,0.0,0.0,50.0,07 - C.León,Zamora,Porto,10.6,50.0,327883,76108,88118,1.1578020707415777,1,3.1405726686032795,15.702863343016396,0,0,0,8.402980314210382,0.20423189494112062
N-620,Carretera convencional,11364.224636194824,6471.713309821649,0,1246,6,30,141.66666666666666,360.0,4,1,1,191047.95950059663,6.0,0.0,0.0,9396.577808115182,20715.03316167826,40.88084816666667,-6.082079,40.592,41.30149,-6.790778,-5.224889,0.7094900000000024,1.5658890000000003,1.5178776059836303,0.0,0.0,50.0,07 - C.León,Zamora,Porto,10.6,50.0,327883,76108,88118,1.1578020707415777,1,3.1405726686032795,15.702863343016396,0,0,0,8.775350667408894,0.21328224374712906
N-620,Carretera convencional,76669.77162947021,10424.694260637812,0,1247,6,30,141.66666666666666,360.0,4,1,1,191047.95950059663,6.0,0.0,0.0,9396.577808115182,20715.03316167826,40.88084816666667,-6.082079,40.592,41.30149,-6.790778,-5.224889,0.7094900000000024,1.5658890000000003,1.5178776059836303,0.0,0.0,50.0,07 - C.León,Zamora,Porto,10.6,50.0,327883,76108,88118,1.1578020707415777,1,3.1405726686032795,15.702863343016396,0,0,0,9.252028640194238,0.2248677576979363
N-620,Carretera convencional,64026.064171850405,20715.03316167826,0,1248,6,30,141.66666666666666,360.0,4,1,1,191047.95950059663,6.0,0.0,0.0,9396.577808115182,20715.03316167826,40.88084816666667,-6.082079,40.592,41.30149,-6.790778,-5.224889,0.7094900000000024,1.5658890000000003,1.5178776059836303,0.0,0.0,50.0,07 - C.León,Zamora,Porto,10.6,50.0,327883,76108,88118,1.1578020707415777,1,3.1405726686032795,15.702863343016396,0,0,0,9.938663228318628,0.24155620368032313
N-620,Carretera convencional,13720.26910131319,5882.821716118072,0,1249,6,30,141.66666666666666,360.0,4,1,1,191047.95950059663,6.0,0.0,0.0,9396.577808115182,20715.03316167826,40.88084816666667,-6.082079,40.592,41.30149,-6.790778,-5.224889,0.7094900000000024,1.5658890000000003,1.5178776059836303,0.0,0.0,50.0,07 - C.León,Zamora,Porto,10.6,50.0,327883,76108,88118,1.1578020707415777,1,3.1405726686032795,15.702863343016396,0,0,0,8.67996178148629,0.210963845726447
N-620,Carretera convencional,22611.840794798867,8425.864226847714,0,1250,6,30,141.66666666666666,360.0,4,1,1,191047.95950059663,6.0,0.0,0.0,9396.577808115182,20715.03316167826,40.88084816666667,-6.082079,40.592,41.30149,-6.790778,-5.224889,0.7094900000000024,1.5658890000000003,1.5178776059836303,0.0,0.0,50.0,07 - C.León,Zamora,Porto,10.6,50.0,327883,76108,88118,1.1578020707415777,1,3.1405726686032795,15.702863343016396,0,0,0,9.0391800039596,0.2196945359732204
N-620A,Carretera convencional,5658.566616113028,3208.505851123423,0,1251,2,4,35.0,50.0,2,1,1,14883.529875902614,5.0,0.0,0.0,6316.114675523349,16833.84338815106,42.276954,-3.894337,42.275448,42.27846,-3.896919,-3.891755,0.0030120000000053437,0.0051640000000001685,1.4927193046525176,7.19,0.0,45.0,07 - C.León,Soria,"Rábanos, Los",9.26,45.0,327883,76108,88118,1.1578020707415777,1,13.437672492182973,26.875344984365945,0,0,0,8.07387226381402,0.19623302331944611
N-620A,Carretera convencional,1824.9290522655945,120.87428876477608,0,1252,2,4,35.0,50.0,2,1,1,14883.529875902614,5.0,0.0,0.0,6316.114675523349,16833.84338815106,42.276954,-3.894337,42.275448,42.27846,-3.896919,-3.891755,0.0030120000000053437,0.0051640000000001685,1.4927193046525176,7.19,0.0,45.0,07 - C.León,Soria,"Rábanos, Los",9.26,45.0,327883,76108,88118,1.1578020707415777,1,13.437672492182973,26.875344984365945,0,0,0,4.8029900935247865,0.11673522149339624
N-620A,Carretera convencional,1244.0006623875029,3773.4677868571657,0,1253,2,4,35.0,50.0,2,1,1,14883.529875902614,5.0,0.0,0.0,6316.114675523349,16833.84338815106,42.276954,-3.894337,42.275448,42.27846,-3.896919,-3.891755,0.0030120000000053437,0.0051640000000001685,1.4927193046525176,7.19,0.0,45.0,07 - C.León,Soria,"Rábanos, Los",9.26,45.0,327883,76108,88118,1.1578020707415777,1,13.437672492182973,26.875344984365945,0,0,0,8.236014668130005,0.2001738454141692
N-620A,Carretera convencional,3270.181327754946,7643.882062720321,0,1254,2,4,35.0,50.0,2,1,1,14883.529875902614,5.0,0.0,0.0,6316.114675523349,16833.84338815106,42.276954,-3.894337,42.275448,42.27846,-3.896919,-3.891755,0.0030120000000053437,0.0051640000000001685,1.4927193046525176,7.19,0.0,45.0,07 - C.León,Soria,"Rábanos, Los",9.26,45.0,327883,76108,88118,1.1578020707415777,1,13.437672492182973,26.875344984365945,0,0,0,8.941791691523479,0.21732754249588102
N-620A,Multicarril,780.4397234700693,1757.1928640578674,0,1255,0,0,0.0,0.0,0,0,0,780.4397234700693,1.0,0.0,0.0,1757.1928640578674,1757.1928640578674,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,2,0.0,0.0,0,0,0,14.944083557490721,0.3632114308233473
N-620A,Carretera convencional,2885.8522173815422,16833.84338815106,0,1256,2,4,35.0,50.0,2,1,1,14883.529875902614,5.0,0.0,0.0,6316.114675523349,16833.84338815106,42.276954,-3.894337,42.275448,42.27846,-3.896919,-3.891755,0.0030120000000053437,0.0051640000000001685,1.4927193046525176,7.19,0.0,45.0,07 - C.León,Soria,"Rábanos, Los",9.26,45.0,327883,76108,88118,1.1578020707415777,1,13.437672492182973,26.875344984365945,0,0,0,9.731206028798773,0.2365140191942466
N-621,Carretera convencional,16868.56957616035,11415.498751804296,0,1257,0,0,0.0,0.0,0,0,0,146099.07762980444,2.0,0.0,0.0,15425.939125785833,19436.37949976737,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,1,0.0,0.0,0,0,0,9.342814847042943,0.22707428899587018
N-621,Carretera convencional,129230.50805364408,19436.37949976737,0,1258,0,0,0.0,0.0,0,0,0,146099.07762980444,2.0,0.0,0.0,15425.939125785833,19436.37949976737,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,1,0.0,0.0,0,0,0,9.874953269533492,0.24000775240199457
N-621A,Carretera convencional,3714.134636564351,3040.109426396548,0,1259,0,0,0.0,0.0,0,0,0,3714.134636564351,1.0,0.0,0.0,3040.109426396548,3040.109426396548,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,1,0.0,0.0,0,0,0,8.019977670718408,0.19492313153541047
N-622,Autopista libre\Autovía,76.25714197732079,1501.3093225707626,0,1260,3,11,53.333333333333336,60.0,3,1,1,19337.295676659724,3.0,0.0,0.0,3453.46539841578,6979.039029537201,42.947507333333334,-2.817034,42.91081,42.96593,-2.868487,-2.714195,0.05512000000000228,0.15429199999999987,1.1375719322078177,1.61,0.0,30.0,07 - C.León,Soria,Oncala,10.870000000000001,45.0,327883,76108,88118,1.1578020707415777,4,15.514061791075703,56.88489323394424,0,0,0,29.2590350063246,0.7111319960353589
N-622,Autopista libre\Autovía,3049.473729245055,1880.047843139377,0,1261,3,11,53.333333333333336,60.0,3,1,1,19337.295676659724,3.0,0.0,0.0,3453.46539841578,6979.039029537201,42.947507333333334,-2.817034,42.91081,42.96593,-2.868487,-2.714195,0.05512000000000228,0.15429199999999987,1.1375719322078177,1.61,0.0,30.0,07 - C.León,Soria,Oncala,10.870000000000001,45.0,327883,76108,88118,1.1578020707415777,4,15.514061791075703,56.88489323394424,0,0,0,30.158337055706927,0.7329892603394518
N-622,Autopista libre\Autovía,16211.564805437349,6979.039029537201,0,1262,3,11,53.333333333333336,60.0,3,1,1,19337.295676659724,3.0,0.0,0.0,3453.46539841578,6979.039029537201,42.947507333333334,-2.817034,42.91081,42.96593,-2.868487,-2.714195,0.05512000000000228,0.15429199999999987,1.1375719322078177,1.61,0.0,30.0,07 - C.León,Soria,Oncala,10.870000000000001,45.0,327883,76108,88118,1.1578020707415777,4,15.514061791075703,56.88489323394424,0,0,0,35.403239149460106,0.8604650193361001
N-622,Carretera convencional,41231.06642853212,13690.502876133538,0,1263,0,0,0.0,0.0,0,0,0,41231.06642853212,1.0,0.0,0.0,13690.502876133538,13690.502876133538,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,1,0.0,0.0,0,0,0,9.524530691375801,0.23149083762994999
N-622A,Carretera convencional,1906.417186771008,10744.453286334943,0,1264,0,0,0.0,0.0,0,0,0,1906.417186771008,1.0,0.0,0.0,10744.453286334943,10744.453286334943,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,1,0.0,0.0,0,0,0,9.282237993978807,0.22560198690444003
N-623,Carretera convencional,9483.557163642488,1587.4658853893106,0,1265,2,3,71.0,120.0,2,0,1,142321.4322404987,4.0,0.0,0.0,8005.527480545023,23629.804301436467,42.897181,-3.8030181,42.435112,43.35925,-3.924742,-3.6812942,0.9241380000000063,0.24344780000000021,1.763722607400939,7.19,0.0,45.0,07 - C.León,Soria,"Rábanos, Los",10.87,45.0,327883,76108,88118,1.1578020707415777,1,1.4052697253779352,2.1079045880669027,0,0,0,7.370523977488597,0.17913835595756866
N-623,Carretera convencional,4080.6271773629546,6134.464585876301,0,1266,2,3,71.0,120.0,2,0,1,142321.4322404987,4.0,0.0,0.0,8005.527480545023,23629.804301436467,42.897181,-3.8030181,42.435112,43.35925,-3.924742,-3.6812942,0.9241380000000063,0.24344780000000021,1.763722607400939,7.19,0.0,45.0,07 - C.León,Soria,"Rábanos, Los",10.87,45.0,327883,76108,88118,1.1578020707415777,1,1.4052697253779352,2.1079045880669027,0,0,0,8.72184108139706,0.211981709443814
N-623,Carretera convencional,127825.83023836237,23629.804301436467,0,1267,2,3,71.0,120.0,2,0,1,142321.4322404987,4.0,0.0,0.0,8005.527480545023,23629.804301436467,42.897181,-3.8030181,42.435112,43.35925,-3.924742,-3.6812942,0.9241380000000063,0.24344780000000021,1.763722607400939,7.19,0.0,45.0,07 - C.León,Soria,"Rábanos, Los",10.87,45.0,327883,76108,88118,1.1578020707415777,1,1.4052697253779352,2.1079045880669027,0,0,0,10.070306406903283,0.24475575131855212
N-623,Multicarril,1894.8247051945157,115.34959328036491,0,1268,1,1,60.0,60.0,1,0,1,2690.7044338780624,2.0,0.0,0.0,275.5741858895123,435.7987784986597,43.44352,-3.855443,43.44352,43.44352,-3.855443,-3.855443,0.0,0.0,2.1861156177505054,1.61,0.0,30.0,07 - C.León,Soria,Oncala,10.870000000000001,45.0,327883,76108,88118,1.1578020707415777,2,37.1649887445541,37.1649887445541,0,0,0,9.513198788171358,0.23121541915005436
N-623,Carretera convencional,931.4176611308828,670.375149478011,0,1269,2,3,71.0,120.0,2,0,1,142321.4322404987,4.0,0.0,0.0,8005.527480545023,23629.804301436467,42.897181,-3.8030181,42.435112,43.35925,-3.924742,-3.6812942,0.9241380000000063,0.24344780000000021,1.763722607400939,7.19,0.0,45.0,07 - C.León,Soria,"Rábanos, Los",10.87,45.0,327883,76108,88118,1.1578020707415777,1,1.4052697253779352,2.1079045880669027,0,0,0,6.509328070870188,0.1582072499276313
N-623,Multicarril,795.879728683547,435.7987784986597,0,1270,1,1,60.0,60.0,1,0,1,2690.7044338780624,2.0,0.0,0.0,275.5741858895123,435.7987784986597,43.44352,-3.855443,43.44352,43.44352,-3.855443,-3.855443,0.0,0.0,2.1861156177505054,1.61,0.0,30.0,07 - C.León,Soria,Oncala,10.870000000000001,45.0,327883,76108,88118,1.1578020707415777,2,37.1649887445541,37.1649887445541,0,0,0,12.158945255898715,0.2955194868061393
N-625,Carretera convencional,44095.48976255279,21136.361064411027,0,1271,4,4,28.6,50.0,3,1,1,115065.09250723736,2.0,0.0,0.0,13223.543007005335,21136.361064411027,43.063635000000005,-5.176884,42.49535,43.352417,-5.414388,-5.038546,0.8570670000000007,0.37584199999999957,1.3929486173794121,0.0,0.0,132.0,07 - C.León,León,Toreno,45.0,132.0,327883,76108,88118,1.1578020707415777,1,3.4762932118169623,3.4762932118169623,0,0,0,9.958797420241936,0.24204555912515877
N-625,Carretera convencional,70969.60274468457,5310.724949599644,0,1272,4,4,28.6,50.0,3,1,1,115065.09250723736,2.0,0.0,0.0,13223.543007005335,21136.361064411027,43.063635000000005,-5.176884,42.49535,43.352417,-5.414388,-5.038546,0.8570670000000007,0.37584199999999957,1.3929486173794121,0.0,0.0,132.0,07 - C.León,León,Toreno,45.0,132.0,327883,76108,88118,1.1578020707415777,1,3.4762932118169623,3.4762932118169623,0,0,0,8.577671910749356,0.2084777213571494
N-627,Carretera convencional,57625.92707027563,27915.061589067744,0,1273,0,0,0.0,0.0,0,0,0,59963.662993479425,2.0,0.0,0.0,14228.33798359409,27915.061589067744,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,1,0.0,0.0,0,0,0,10.236957486362856,0.2488061553989299
N-627,Carretera convencional,2337.7359232037934,541.6143781204357,0,1274,0,0,0.0,0.0,0,0,0,59963.662993479425,2.0,0.0,0.0,14228.33798359409,27915.061589067744,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,1,0.0,0.0,0,0,0,6.2963988984370305,0.1530320707949696
N-629,Carretera convencional,60744.90689054125,6563.174902505883,0,1275,4,11,99.325,180.0,3,1,1,83744.75079040547,2.0,0.0,0.0,8007.0505871370915,9450.9262717683,42.93108525,-3.4591773999999997,42.8031,43.05754,-3.4874406,-3.38866,0.25444000000000244,0.0987806,1.5513433708381335,1.61,0.0,30.0,07 - C.León,Soria,Oncala,10.870000000000001,45.0,327883,76108,88118,1.1578020707415777,1,4.776418775203132,13.135151631808613,0,0,0,8.789382097574961,0.21362327341331833
