length_m,road_total_refill_points,road_mean_power_kw,road_n_operators,road_n_segments,road_n_gaps,road_mean_nearest_m,road_max_nearest_m,road_centroid_lat,road_centroid_lon,road_min_lat,road_min_lon,road_span_lat,road_span_lon,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,grid_capacity_3nearest_mw,grid_maxvoltage_3nearest_kv,road_type_rank,road_refill_per_100km,afir_power_gap_kw,afir_power_compliant,power_range_kw,has_hpc,connector_diversity,refill_per_station,coverage_ratio,gap_severity,grid_headroom_mw,grid_strong_hv,grid_capacity_per_station,log_length_m,log_road_max_nearest_m,log_road_mean_nearest_m,log_road_refill_per_100km,demand_vs_supply,grid_x_power,tipo_de_via_Autopista peaje,tipo_de_via_Carretera convencional,tipo_de_via_Multicarril,comunidad_autonoma_02 - Aragón,comunidad_autonoma_04 - Illes Balears,comunidad_autonoma_05 - Canarias,comunidad_autonoma_07 - C.León,comunidad_autonoma_08 - C.La Mancha,comunidad_autonoma_09 - Catalunya,comunidad_autonoma_11 - Extremadura,comunidad_autonoma_12 - Galicia,comunidad_autonoma_15 - Navarra,comunidad_autonoma_unknown,is_underserved
7527.979244750741,45,83.45,7,1.0,0.0,74.82226852190453,74.82226852190453,39.864278,-3.97200125,39.862125,-3.980628,0.0071149999999988,0.0214459999999996,0.5080585843395794,74.26,0.0,15.0,169.22,15.0,2,597.7699796579341,0.0,1,166.55,1,2,3.75,1.0,1.0,94.96,0,14.101666666666667,8.926514753139022,4.328392029475795,4.328392029475795,6.394877517116927,0.055649739753128744,23740.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
22078.044641377943,4,27.33333333333333,2,5.0,0.0,3104.503662057194,4269.02398987149,36.546675666666665,-4.760377133333333,36.41467,-5.2251544,0.1984969999999961,0.6978444000000001,0.0487155257344922,46.33,0.01,66.0,146.49,66.0,3,4.441373752488366,120.0,0,2.6666666666666714,0,2,1.3333333333333333,1.0,1.3751067657116656,100.16000000000001,0,48.830000000000005,10.002384231401408,8.359374724443771,8.040931191215277,1.6940315570189646,2.309469919483807,3004.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24146.013099683783,4,27.33333333333333,2,5.0,0.0,3104.503662057194,4269.02398987149,36.546675666666665,-4.760377133333333,36.41467,-5.2251544,0.1984969999999961,0.6978444000000001,0.0487155257344922,46.33,0.01,66.0,146.49,66.0,3,4.441373752488366,120.0,0,2.6666666666666714,0,2,1.3333333333333333,1.0,1.3751067657116656,100.16000000000001,0,48.830000000000005,10.091915970259057,8.359374724443771,8.040931191215277,1.6940315570189646,2.330142076536291,3004.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28323.85269677033,4,27.33333333333333,2,5.0,0.0,3104.503662057194,4269.02398987149,36.546675666666665,-4.760377133333333,36.41467,-5.2251544,0.1984969999999961,0.6978444000000001,0.0487155257344922,46.33,0.01,66.0,146.49,66.0,3,4.441373752488366,120.0,0,2.6666666666666714,0,2,1.3333333333333333,1.0,1.3751067657116656,100.16000000000001,0,48.830000000000005,10.251494885415617,8.359374724443771,8.040931191215277,1.6940315570189646,2.3669875621537035,3004.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11492.490960125377,4,27.33333333333333,2,5.0,0.0,3104.503662057194,4269.02398987149,36.546675666666665,-4.760377133333333,36.41467,-5.2251544,0.1984969999999961,0.6978444000000001,0.0487155257344922,46.33,0.01,66.0,146.49,66.0,3,4.441373752488366,120.0,0,2.6666666666666714,0,2,1.3333333333333333,1.0,1.3751067657116656,100.16000000000001,0,48.830000000000005,9.349536150643553,8.359374724443771,8.040931191215277,1.6940315570189646,2.158732558308495,3004.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4021.823105416602,4,27.33333333333333,2,5.0,0.0,3104.503662057194,4269.02398987149,36.546675666666665,-4.760377133333333,36.41467,-5.2251544,0.1984969999999961,0.6978444000000001,0.0487155257344922,46.33,0.01,66.0,146.49,66.0,3,4.441373752488366,120.0,0,2.6666666666666714,0,2,1.3333333333333333,1.0,1.3751067657116656,100.16000000000001,0,48.830000000000005,8.299739200169373,8.359374724443771,8.040931191215277,1.6940315570189646,1.9163429017429559,3004.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4868.842576163149,10,87.02,3,6.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,-5.9388,1.354369999999996,2.444074,0.0751423105535507,36.84,0.0,66.0,45.1,66.0,1,10.299461830934344,10.0,0,52.980000000000004,0,2,3.3333333333333335,1.0,2.426838998762437,8.259999999999998,0,15.033333333333333,8.490816890330992,9.398698281141172,8.51222687483496,2.4247550990031295,2.0760763017956143,1156.3999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2138.747892252916,10,87.02,3,6.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,-5.9388,1.354369999999996,2.444074,0.0751423105535507,36.84,0.0,66.0,45.1,66.0,1,10.299461830934344,10.0,0,52.980000000000004,0,2,3.3333333333333335,1.0,2.426838998762437,8.259999999999998,0,15.033333333333333,7.668443293717615,9.398698281141172,8.51222687483496,2.4247550990031295,1.8749990253446671,1156.3999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8686.597009278476,10,87.02,3,6.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,-5.9388,1.354369999999996,2.444074,0.0751423105535507,36.84,0.0,66.0,45.1,66.0,1,10.299461830934344,10.0,0,52.980000000000004,0,2,3.3333333333333335,1.0,2.426838998762437,8.259999999999998,0,15.033333333333333,9.069651656346354,9.398698281141172,8.51222687483496,2.4247550990031295,2.217606281290091,1156.3999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12810.96293858887,10,87.02,3,6.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,-5.9388,1.354369999999996,2.444074,0.0751423105535507,36.84,0.0,66.0,45.1,66.0,1,10.299461830934344,10.0,0,52.980000000000004,0,2,3.3333333333333335,1.0,2.426838998762437,8.259999999999998,0,15.033333333333333,9.458134618014038,9.398698281141172,8.51222687483496,2.4247550990031295,2.3125936400786298,1156.3999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5806.012828083931,10,87.02,3,6.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,-5.9388,1.354369999999996,2.444074,0.0751423105535507,36.84,0.0,66.0,45.1,66.0,1,10.299461830934344,10.0,0,52.980000000000004,0,2,3.3333333333333335,1.0,2.426838998762437,8.259999999999998,0,15.033333333333333,8.666821574442096,9.398698281141172,8.51222687483496,2.4247550990031295,2.119110930666741,1156.3999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2853.867449216257,0,0.0,0,3.0,0.0,4499.404278818646,6792.575770182877,40.60329611854644,-3.2475414818784625,39.904363120406565,-4.1955526785770125,1.2367753635652854,1.6850876366692726,0.5734272957961725,7.19,0.0,66.0,45.0,132.0,2,0.0,150.0,0,0.0,0,0,0.0,1.0,1.5096611349550304,37.81,0,45.0,7.95678069341731,8.82373270493741,8.41192251146054,0.0,7.95678069341731,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1799.5783636988456,0,0.0,0,3.0,0.0,4499.404278818646,6792.575770182877,40.60329611854644,-3.2475414818784625,39.904363120406565,-4.1955526785770125,1.2367753635652854,1.6850876366692726,0.5734272957961725,7.19,0.0,66.0,45.0,132.0,2,0.0,150.0,0,0.0,0,0,0.0,1.0,1.5096611349550304,37.81,0,45.0,7.495863205440261,8.82373270493741,8.41192251146054,0.0,7.495863205440261,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
62781.28842106909,10,87.02,3,6.0,0.0,4974.2299758955805,12071.65529431653,38.06409733333333,-4.309422333333333,37.1612,-5.9388,1.354369999999996,2.444074,0.0751423105535507,36.84,0.0,66.0,45.1,66.0,1,10.299461830934344,10.0,0,52.980000000000004,0,2,3.3333333333333335,1.0,2.426838998762437,8.259999999999998,0,15.033333333333333,11.047428281166285,9.398698281141172,8.51222687483496,2.4247550990031295,2.7011893374398173,1156.3999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1324.6301689165057,0,0.0,0,3.0,0.0,4499.404278818646,6792.575770182877,40.60329611854644,-3.2475414818784625,39.904363120406565,-4.1955526785770125,1.2367753635652854,1.6850876366692726,0.5734272957961725,7.19,0.0,66.0,45.0,132.0,2,0.0,150.0,0,0.0,0,0,0.0,1.0,1.5096611349550304,37.81,0,45.0,7.189643224541147,8.82373270493741,8.41192251146054,0.0,7.189643224541147,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
71159.6285923375,212,72.0796511627907,15,21.0,0.0,3221.866892200881,9138.735001299863,36.61979268604651,-4.173906974418604,36.181152,-5.4414997,1.253308000000004,3.5436307,0.1252176627691642,45.92,0.0,132.0,149.69,132.0,4,50.27922416747761,0.0,1,277.9203488372093,1,2,2.4651162790697674,1.0,2.836471929806239,103.77,1,1.7405813953488372,11.172694975247467,9.12038667073465,8.078026581614436,3.937285683158605,0.5221791007601161,36319.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37540.93396802612,212,72.0796511627907,15,21.0,0.0,3221.866892200881,9138.735001299863,36.61979268604651,-4.173906974418604,36.181152,-5.4414997,1.253308000000004,3.5436307,0.1252176627691642,45.92,0.0,132.0,149.69,132.0,4,50.27922416747761,0.0,1,277.9203488372093,1,2,2.4651162790697674,1.0,2.836471929806239,103.77,1,1.7405813953488372,10.533213826342184,9.12038667073465,8.078026581614436,3.937285683158605,0.4922916213267119,36319.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3504.489243176685,212,72.0796511627907,15,21.0,0.0,3221.866892200881,9138.735001299863,36.61979268604651,-4.173906974418604,36.181152,-5.4414997,1.253308000000004,3.5436307,0.1252176627691642,45.92,0.0,132.0,149.69,132.0,4,50.27922416747761,0.0,1,277.9203488372093,1,2,2.4651162790697674,1.0,2.836471929806239,103.77,1,1.7405813953488372,8.16208537408624,9.12038667073465,8.078026581614436,3.937285683158605,0.3814720092520244,36319.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11926.49455002844,212,72.0796511627907,15,21.0,0.0,3221.866892200881,9138.735001299863,36.61979268604651,-4.173906974418604,36.181152,-5.4414997,1.253308000000004,3.5436307,0.1252176627691642,45.92,0.0,132.0,149.69,132.0,4,50.27922416747761,0.0,1,277.9203488372093,1,2,2.4651162790697674,1.0,2.836471929806239,103.77,1,1.7405813953488372,9.386601480465274,9.12038667073465,8.078026581614436,3.937285683158605,0.43870231229993517,36319.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64779.042805519406,212,72.0796511627907,15,21.0,0.0,3221.866892200881,9138.735001299863,36.61979268604651,-4.173906974418604,36.181152,-5.4414997,1.253308000000004,3.5436307,0.1252176627691642,45.92,0.0,132.0,149.69,132.0,4,50.27922416747761,0.0,1,277.9203488372093,1,2,2.4651162790697674,1.0,2.836471929806239,103.77,1,1.7405813953488372,11.07875285350805,9.12038667073465,8.078026581614436,3.937285683158605,0.5177885206214777,36319.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13676.573227656314,212,72.0796511627907,15,21.0,0.0,3221.866892200881,9138.735001299863,36.61979268604651,-4.173906974418604,36.181152,-5.4414997,1.253308000000004,3.5436307,0.1252176627691642,45.92,0.0,132.0,149.69,132.0,4,50.27922416747761,0.0,1,277.9203488372093,1,2,2.4651162790697674,1.0,2.836471929806239,103.77,1,1.7405813953488372,9.523512779800916,9.12038667073465,8.078026581614436,3.937285683158605,0.44510114618284097,36319.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4588.981198384145,212,72.0796511627907,15,21.0,0.0,3221.866892200881,9138.735001299863,36.61979268604651,-4.173906974418604,36.181152,-5.4414997,1.253308000000004,3.5436307,0.1252176627691642,45.92,0.0,132.0,149.69,132.0,4,50.27922416747761,0.0,1,277.9203488372093,1,2,2.4651162790697674,1.0,2.836471929806239,103.77,1,1.7405813953488372,8.431631206833597,9.12038667073465,8.078026581614436,3.937285683158605,0.3940697934812975,36319.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.550584956539417,212,72.0796511627907,15,21.0,0.0,3221.866892200881,9138.735001299863,36.61979268604651,-4.173906974418604,36.181152,-5.4414997,1.253308000000004,3.5436307,0.1252176627691642,45.92,0.0,132.0,149.69,132.0,4,50.27922416747761,0.0,1,277.9203488372093,1,2,2.4651162790697674,1.0,2.836471929806239,103.77,1,1.7405813953488372,1.8795543520014824,9.12038667073465,8.078026581614436,3.937285683158605,0.08784487570208262,36319.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
