segment_id,carretera,comunidad_autonoma,road_centroid_lat,road_centroid_lon,prob_needs_station,n_chargers_proposed,estimated_demand_kw
133,A-23,02 - Aragón,40.94914264285715,-0.6890011357142857,0.9023338589970268,7,1050
1065,N-430,04 - Illes Balears,39.02738935714286,-4.762463907142857,0.9019345754460494,23,3450
1072,N-430A,04 - Illes Balears,38.855915,-1.0582102999999998,0.8998012984782009,1,150
1074,N-430A,04 - Illes Balears,38.855915,-1.0582102999999998,0.8990955666055972,1,150
1071,N-430,04 - Illes Balears,39.02738935714286,-4.762463907142857,0.8979894778333553,15,2250
137,A-23,02 - Aragón,40.94914264285715,-0.6890011357142857,0.8974400198544257,1,150
745,N-232A,02 - Aragón,41.1665005,-0.267938975,0.8972693359610416,1,150
746,N-232A,02 - Aragón,41.1665005,-0.267938975,0.8972693359610416,1,150
577,N-110A,unknown,40.60329611854644,-3.2475414818784625,0.8916488835929514,1,150
1285,N-630,11 - Extremadura,40.27573135555556,-6.011571837777778,0.8889870920592537,6,900
1162,N-502A,11 - Extremadura,39.959625,-4.8439505,0.8868235148790495,1,150
1307,N-630A,11 - Extremadura,40.3880945,-5.75356525,0.878105126456152,1,150
1309,N-630A,11 - Extremadura,40.3880945,-5.75356525,0.878105126456152,1,150
750,N-232A,02 - Aragón,41.1665005,-0.267938975,0.8761846353494436,1,150
1069,N-430,04 - Illes Balears,39.02738935714286,-4.762463907142857,0.870093480487974,1,150
298,A-66,07 - C.León,41.33765845945946,-5.922790189189189,0.8700632762968667,7,1050
1293,N-630,11 - Extremadura,38.68730236,-6.05058244,0.86932242145781,1,150
