station_id,road_code,pk_km,year,imd_total,imd_ligeros,imd_pesados,pct_pesados,network,region,source_file
PO-512-4Calzada:,AP-9,158.2,2024,49724.0,44784.0,4940.0,9.9,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
PO-514-4Calzada:,AP-9,108.7,2024,25090.0,22522.0,2568.0,10.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
PO-515-4Calzada:,AP-9,124.36,2024,27444.0,24786.0,2658.0,9.7,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
PO-516-4Calzada:,AP-53,28.0,2024,6550.0,6130.0,420.0,6.4,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
PO-517-4Calzada:,AP-53,20.9,2024,6672.0,6260.0,412.0,6.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
PO-518-4Calzada:,AP-9,163.97,2024,6804.0,6208.0,596.0,8.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
PO-519-4Calzada:,AP-9,172.62,2024,6364.0,5816.0,548.0,8.6,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
PO-520-4Calzada:,AP-53,44.74,2024,6958.0,6558.0,400.0,5.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
PO-521-4Calzada:,AP-53,48.5,2024,6612.0,6104.0,508.0,7.7,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
PO-522-4Calzada:,AP-53,53.42,2024,8348.0,7508.0,840.0,10.1,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
PO-523-4Calzada:,AP-53,37.68,2024,5452.0,5084.0,368.0,6.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
PO-524-4Calzada:,AP-9,160.34,2024,12150.0,10904.0,1246.0,10.3,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
SG-501-4Calzada:,AP-6,57.59,2024,37608.0,32548.0,5060.0,13.4,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
SG-502-4Calzada:,AP-6,71.26,2024,26008.0,22050.0,3958.0,15.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
SG-503-4Calzada:,AP-6,85.02,2024,16088.0,14064.0,2024.0,12.6,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
SG-504-4Calzada:,AP-51,21.34,2024,8226.0,7632.0,594.0,7.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
SG-505-4Calzada:,AP-61,65.0,2024,8596.0,7796.0,800.0,9.3,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
SG-506-4Calzada:,AP-61,71.4,2024,7820.0,7116.0,704.0,9.0,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
SG-507-4Calzada:,AP-61,80.3,2024,7542.0,6860.0,682.0,9.0,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
SG-508-4Calzada:,AP-61,87.45,2024,22556.0,20232.0,2324.0,10.3,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
SG-509-4Calzada:,AP-6,60.93,2024,34604.0,29846.0,4758.0,13.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-501-4Calzada:,R-4,27.45,2024,7104.0,6578.0,526.0,7.4,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-502-4Calzada:,R-4,45.5,2024,7104.0,6578.0,526.0,7.4,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-503-4Calzada:,AP-36,0.17,2024,3764.0,3382.0,382.0,10.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-504-4Calzada:,AP-36,21.03,2024,4412.0,3980.0,432.0,9.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-505-4Calzada:,AP-36,42.85,2024,4248.0,3824.0,424.0,10.0,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-506-4Calzada:,AP-36,61.58,2024,3760.0,3362.0,398.0,10.6,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-507-4Calzada:,AP-41,20.5,2024,2152.0,2044.0,108.0,5.0,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-508-4Calzada:,AP-41,26.5,2024,1432.0,1352.0,80.0,5.6,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-509-4Calzada:,AP-41,31.5,2024,1296.0,1222.0,74.0,5.7,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
